LoadingProb,MoveSteps_zebra,MoveSteps_zebra_std,MoveSteps_checker,MoveSteps_checker_std,MoveSteps_separate,MoveSteps_separate_std
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
6.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
8.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.200000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.400000000000000178e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.600000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.800000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.000000000000000000e+01,4.080000000000000000e+02,0.000000000000000000e+00,3.960000000000000000e+02,0.000000000000000000e+00,6.540000000000000000e+02,0.000000000000000000e+00
2.200000000000000000e+01,3.822631578947368212e+02,4.073255791425609829e+01,3.658421052631579187e+02,3.403444564415158879e+01,6.272631578947368780e+02,5.058067251562560074e+01
2.400000000000000000e+01,3.683785714285714334e+02,3.862890624854894384e+01,3.521499999999999773e+02,3.142835957720806306e+01,6.164357142857143117e+02,4.826033726634351950e+01
2.600000000000000000e+01,3.501658536585366051e+02,3.641598154761374673e+01,3.365951219512195394e+02,3.050448948341317035e+01,5.975146341463414501e+02,5.622022056587742611e+01
2.800000000000000355e+01,3.341210287443267930e+02,3.549371506233964624e+01,3.234205748865355758e+02,3.010373090657579453e+01,5.751089258698940512e+02,5.509238777844596058e+01
3.000000000000000000e+01,3.178673587081891583e+02,3.345740024570351778e+01,3.094117647058823763e+02,2.914308653013409867e+01,5.448465974625144099e+02,6.235827388833637031e+01
3.200000000000000000e+01,2.991413828689370575e+02,3.281554966539581386e+01,2.927110423116615152e+02,3.055954096026358968e+01,5.101919504643962568e+02,6.321986710450825342e+01
3.400000000000000000e+01,2.799797775530839203e+02,2.881617053107328630e+01,2.748301314459049536e+02,2.718865414356574917e+01,4.755045500505561336e+02,6.078619752401432663e+01
3.600000000000000000e+01,2.649226130653266296e+02,2.634176310773732155e+01,2.600472361809045196e+02,2.517881337781971141e+01,4.460793969849246423e+02,5.726828976581803943e+01
3.800000000000000000e+01,2.495320000000000107e+02,2.527957626227148680e+01,2.458619999999999948e+02,2.423367400952649575e+01,4.174990000000000236e+02,5.352371436101945079e+01
4.000000000000000000e+01,2.361419999999999959e+02,2.433507419343528611e+01,2.330360000000000014e+02,2.344872499732128190e+01,3.982280000000000086e+02,5.129768041539499990e+01
4.200000000000000000e+01,2.245469999999999970e+02,2.208116371480452500e+01,2.214850000000000136e+02,2.206562428303355006e+01,3.801270000000000095e+02,4.429712034658686548e+01
4.400000000000000000e+01,2.123919999999999959e+02,2.190005333326839221e+01,2.096339999999999861e+02,2.120245372592521349e+01,3.650310000000000059e+02,4.328817435512844725e+01
4.600000000000000000e+01,2.033679999999999950e+02,1.988050743819181321e+01,2.016560000000000059e+02,1.947073866087262672e+01,3.543709999999999809e+02,3.817639793118255653e+01
4.800000000000000000e+01,1.932280000000000086e+02,1.876480791268591730e+01,1.906659999999999968e+02,1.850390348007684693e+01,3.444379999999999882e+02,3.674969599874263082e+01
5.000000000000000000e+01,1.852860000000000014e+02,1.795138445914409075e+01,1.834339999999999975e+02,1.728530138585960430e+01,3.371309999999999718e+02,3.899848508596199537e+01
5.200000000000000000e+01,1.775600000000000023e+02,1.798661724727582012e+01,1.756119999999999948e+02,1.705454355882912409e+01,3.308290000000000077e+02,3.934793208035207357e+01
5.400000000000000000e+01,1.707429999999999950e+02,1.681525946870877064e+01,1.685889999999999986e+02,1.601518276511385963e+01,3.289259999999999877e+02,3.982108140168973165e+01
5.600000000000000711e+01,1.641899999999999977e+02,1.633529614056629242e+01,1.621310000000000002e+02,1.577364380858145232e+01,3.224150000000000205e+02,4.037269838640959563e+01
5.799999999999999289e+01,1.585130000000000052e+02,1.637674665493729975e+01,1.555860000000000127e+02,1.542532346500390439e+01,3.225040000000000191e+02,4.379511370004649251e+01
6.000000000000000000e+01,1.527059999999999889e+02,1.541893524209762134e+01,1.498340000000000032e+02,1.486467100207737424e+01,3.208709999999999809e+02,4.540566439333313298e+01
6.200000000000000000e+01,1.487009999999999934e+02,1.568813561262140510e+01,1.455730000000000075e+02,1.348297708223224767e+01,3.184900000000000091e+02,4.807258990318703695e+01
6.400000000000000000e+01,1.437669999999999959e+02,1.459372162952274543e+01,1.407249999999999943e+02,1.364893310848873753e+01,3.164549999999999841e+02,4.740314309199337828e+01
6.600000000000000000e+01,1.406040000000000134e+02,1.467409908648568262e+01,1.373830000000000098e+02,1.307441436546968205e+01,3.123050000000000068e+02,4.638779985082284441e+01
6.800000000000000000e+01,1.373480000000000132e+02,1.490398926462308005e+01,1.331239999999999952e+02,1.312000853658258848e+01,3.161709999999999923e+02,5.089469283726938897e+01
7.000000000000000000e+01,1.330900000000000034e+02,1.350325516310789453e+01,1.284879999999999995e+02,1.179075298698093910e+01,3.118559999999999945e+02,5.011382308305763189e+01
7.200000000000000000e+01,1.303899999999999864e+02,1.412154028426077801e+01,1.248940000000000055e+02,1.191632342629218932e+01,3.121569999999999823e+02,4.892183920295719446e+01
7.400000000000000000e+01,1.287309999999999945e+02,1.417020250384587854e+01,1.226719999999999970e+02,1.147268129078812926e+01,3.089340000000000259e+02,4.932035729797585333e+01
7.600000000000000000e+01,1.266989999999999981e+02,1.460131497502879050e+01,1.190960000000000036e+02,1.141992924671602339e+01,3.083580000000000041e+02,4.966586187714857914e+01
7.800000000000000000e+01,1.240739999999999981e+02,1.410852664171564008e+01,1.169819999999999993e+02,1.098224366875913027e+01,3.106449999999999818e+02,5.250713261072251470e+01
8.000000000000000000e+01,1.219389999999999930e+02,1.331109608559715873e+01,1.140250000000000057e+02,1.110208876743471151e+01,3.086469999999999914e+02,5.027206372330461193e+01
8.200000000000000000e+01,1.201580000000000013e+02,1.448513154928183511e+01,1.112729999999999961e+02,1.096460081352713800e+01,3.070640000000000214e+02,5.186168049726117601e+01
8.400000000000000000e+01,1.200720000000000027e+02,1.503864408781589646e+01,1.100889999999999986e+02,1.178826021938776059e+01,3.042719999999999914e+02,4.985129904024567793e+01
8.600000000000000000e+01,1.173550000000000040e+02,1.389363073498068601e+01,1.071880000000000024e+02,1.053331172993565268e+01,3.042590000000000146e+02,5.005159257206507561e+01
8.800000000000000000e+01,1.159980000000000047e+02,1.458567776964786766e+01,1.055570000000000022e+02,1.042222389895745849e+01,3.030140000000000100e+02,5.029365570327931323e+01
9.000000000000000000e+01,1.151929999999999978e+02,1.471936652848892102e+01,1.043739999999999952e+02,1.019323913189521846e+01,3.010430000000000064e+02,4.848605109719702000e+01
9.200000000000000000e+01,1.137139999999999986e+02,1.488771990601650153e+01,1.018689999999999998e+02,1.009186994565427398e+01,3.014639999999999986e+02,5.022189466756505993e+01
9.400000000000000000e+01,1.123460000000000036e+02,1.484352666989890324e+01,9.970799999999999841e+01,1.027670842244733507e+01,2.968949999999999818e+02,4.892379763468899512e+01
9.600000000000000000e+01,1.099639999999999986e+02,1.425211226450311131e+01,9.676600000000000534e+01,9.667535570144027091e+00,2.931569999999999823e+02,4.442312855934395088e+01
9.800000000000000000e+01,1.079440000000000026e+02,1.443228547389497862e+01,9.468500000000000227e+01,1.012322947482669733e+01,2.885160000000000196e+02,4.475434888365598596e+01
1.000000000000000000e+02,1.047660000000000053e+02,1.353082569542598179e+01,9.085599999999999454e+01,9.484896625688653771e+00,2.857919999999999732e+02,4.440108935600567008e+01
